iter	Passed	Remaining
513	84681	80068
514	84804	79864
515	84936	79669
516	85047	79454
517	85170	79251
518	85284	79040
519	85410	78840
520	85533	78637
521	85659	78438
522	85783	78238
523	85902	78033
524	86021	77828
525	86196	77675
526	86310	77466
527	86435	77268
528	86570	77079
529	86704	76889
530	86847	76707
531	86993	76528
532	87109	76323
533	87249	76138
534	87373	75941
535	87502	75748
536	87626	75551
537	87748	75352
538	87876	75159
539	88037	74995
540	88187	74820
541	88341	74650
542	88512	74493
543	88644	74305
544	88787	74125
545	88956	73967
546	89102	73790
547	89263	73626
548	89409	73449
549	89567	73282
550	89729	73119
551	89863	72932
552	90023	72767
553	90209	72623
554	90347	72441
555	90498	72268
556	90679	72120
557	90860	71971
558	91004	71794
559	91180	71641
560	91345	71480
561	91504	71315
562	91663	71148
563	91832	70990
564	91972	70810
565	92128	70642
566	92291	70480
567	92442	70308
568	92564	70115
569	92677	69914
570	92781	69708
571	92909	69519
572	93048	69339
573	93176	69151
574	93288	68952
575	93396	68749
576	93522	68561
577	93655	68378
578	93808	68209
579	93929	68017
580	94070	67840
581	94237	67682
582	94393	67516
583	94577	67370
584	94713	67189
585	94885	67034
586	95031	66862
587	95156	66674
588	95314	66509
589	95479	66349
590	95634	66183
591	95763	65998
592	95890	65813
593	96037	65641
594	96193	65476
595	96353	65313
596	96460	65115
597	96573	64920
598	96688	64728
599	96836	64557
600	96988	64389
601	97158	64234
602	97301	64060
603	97437	63882
604	97561	63697
605	97725	63537
606	97889	63377
607	98061	63223
608	98211	63055
609	98376	62896
610	98537	62734
611	98713	62583
612	98837	62398
613	98995	62234
614	99155	62072
615	99293	61897
616	99435	61723
617	99610	61571
618	99765	61406
619	99936	61251
620	100096	61089
621	100265	60932
622	100411	60762
623	100559	60593
624	100723	60434
625	100879	60270
626	101022	60097
627	101151	59917
628	101265	59729
629	101381	59541
630	101499	59355
631	101618	59170
632	101761	58999
633	101893	58821
634	102004	58632
635	102124	58448
636	102265	58277
637	102414	58110
638	102582	57953
639	102722	57781
640	102881	57619
641	103046	57462
642	103207	57301
643	103348	57130
644	103473	56950
645	103626	56785
646	103748	56604
647	103896	56437
648	104051	56274
649	104201	56108
650	104319	55925
651	104464	55756
652	104619	55594
653	104764	55425
654	104900	55253
655	105056	55090
656	105179	54911
657	105338	54750
658	105479	54580
659	105647	54424
660	105766	54243
661	105887	54063
662	106008	53883
663	106129	53704
664	106244	53521
665	106359	53339
666	106491	53165
667	106653	53007
668	106821	52851
669	106953	52678
670	107105	52515
671	107281	52363
672	107428	52197
673	107579	52034
674	107745	51877
675	107908	51719
676	108063	51557
677	108207	51390
678	108353	51224
679	108517	51067
680	108629	50885
681	108770	50717
682	108907	50547
683	109074	50391
684	109237	50233
685	109376	50064
686	109539	49906
687	109677	49737
688	109835	49577
689	109964	49404
690	110119	49243
691	110243	49067
692	110398	48906
693	110560	48748
694	110719	48588
695	110843	48414
696	110960	48236
697	111077	48059
698	111207	47887
699	111318	47708
700	111423	47526
701	111527	47343
702	111678	47181
703	111822	47016
704	111958	46847
705	112131	46695
706	112240	46515
707	112396	46355
708	112497	46172
709	112604	45993
710	112720	45817
711	112832	45640
712	112938	45460
713	113042	45280
714	113161	45106
715	113278	44931
716	113411	44763
717	113550	44597
718	113679	44428
719	113818	44262
720	113942	44091
721	114059	43917
722	114191	43749
723	114351	43592
724	114528	43441
725	114722	43297
726	114859	43131
727	115022	42975
728	115183	42818
729	115334	42658
730	115494	42500
731	115645	42340
732	115811	42185
733	115963	42024
734	116113	41864
735	116264	41703
736	116426	41547
737	116577	41386
738	116730	41226
739	116877	41065
740	117054	40913
741	117243	40766
742	117404	40609
743	117524	40438
744	117710	40290
745	117877	40135
746	118035	39977
747	118205	39823
748	118378	39670
749	118509	39503
750	118631	39333
751	118760	39165
752	118943	39016
753	119063	38845
754	119197	38680
755	119317	38509
756	119434	38339
757	119555	38169
758	119717	38013
759	119843	37845
760	119966	37676
761	120084	37506
762	120207	37338
763	120374	37183
764	120523	37023
765	120650	36856
766	120811	36700
767	120982	36546
768	121099	36377
769	121251	36218
770	121417	36063
771	121574	35905
772	121743	35751
773	121904	35594
774	122078	35442
775	122242	35286
776	122406	35130
777	122572	34975
778	122736	34819
779	122905	34665
780	123085	34514
781	123251	34359
782	123407	34201
783	123574	34045
784	123755	33894
785	123903	33734
786	124069	33579
787	124208	33416
788	124351	33254
789	124498	33094
790	124645	32934
791	124808	32777
792	124974	32622
793	125135	32465
794	125278	32304
795	125427	32144
796	125585	31987
797	125748	31830
798	125874	31665
799	126033	31508
800	126180	31348
801	126322	31186
802	126481	31029
803	126656	30876
804	126826	30722
805	126984	30564
806	127163	30412
807	127289	30246
808	127412	30081
809	127557	29920
810	127681	29755
811	127802	29589
812	127925	29424
813	128046	29258
814	128202	29101
815	128315	28933
816	128438	28769
817	128583	28609
818	128699	28442
819	128804	28274
820	128914	28106
821	129047	27944
822	129200	27786
823	129348	27627
824	129495	27468
825	129643	27309
826	129807	27154
827	129967	26998
828	130086	26833
829	130252	26678
830	130407	26520
831	130564	26364
832	130733	26209
833	130901	26054
834	131047	25895
835	131164	25730
836	131315	25572
837	131456	25412
838	131628	25258
839	131800	25104
840	131921	24941
841	132065	24781
842	132214	24623
843	132358	24464
844	132514	24307
845	132625	24142
846	132765	23982
847	132901	23821
848	133060	23665
849	133222	23509
850	133364	23350
851	133513	23192
852	133666	23035
853	133826	22879
854	133985	22722
855	134109	22560
856	134258	22402
857	134392	22242
858	134546	22085
859	134698	21927
860	134872	21773
861	135026	21616
862	135191	21461
863	135352	21305
864	135474	21143
865	135637	20987
866	135799	20831
867	135952	20674
868	136110	20518
869	136253	20359
870	136434	20206
871	136575	20047
872	136691	19885
873	136796	19721
874	136915	19559
875	137031	19397
876	137148	19235
877	137269	19073
878	137422	18917
879	137540	18755
880	137655	18593
881	137789	18434
882	137914	18274
883	138047	18114
884	138198	17957
885	138360	17802
886	138507	17645
887	138643	17486
888	138785	17328
889	138947	17173
890	139114	17018
891	139280	16863
892	139430	16706
893	139585	16550
894	139741	16394
895	139882	16236
896	140051	16081
897	140224	15927
898	140383	15771
899	140545	15616
900	140724	15462
901	140883	15306
902	141007	15147
903	141152	14989
904	141279	14830
905	141401	14670
906	141517	14510
907	141645	14351
908	141801	14195
909	141965	14040
910	142123	13884
911	142236	13724
912	142387	13568
913	142568	13414
914	142712	13257
915	142893	13103
916	143054	12948
917	143208	12792
918	143351	12634
919	143508	12479
920	143674	12323
921	143824	12167
922	143990	12012
923	144110	11853
924	144249	11695
925	144378	11537
926	144509	11379
927	144631	11221
928	144758	11063
929	144880	10904
930	145007	10747
931	145149	10590
932	145307	10434
933	145450	10278
934	145599	10121
935	145745	9965
936	145860	9807
937	145982	9649
938	146154	9494
939	146327	9340
940	146496	9185
941	146653	9029
942	146811	8874
943	146963	8718
944	147112	8562
945	147260	8405
946	147412	8250
947	147581	8095
948	147732	7939
949	147883	7783
950	148028	7627
951	148189	7471
952	148335	7315
953	148461	7158
954	148620	7003
955	148773	6847
956	148912	6690
957	149055	6534
958	149205	6378
959	149359	6223
960	149515	6067
961	149653	5911
962	149810	5755
963	149988	5601
964	150147	5445
965	150315	5290
966	150468	5134
967	150648	4980
968	150770	4823
969	150890	4666
970	151021	4510
971	151173	4354
972	151351	4199
973	151515	4044
974	151672	3889
975	151818	3733
976	151989	3578
977	152112	3421
978	152235	3265
979	152364	3109
980	152524	2954
981	152671	2798
982	152833	2643
983	152993	2487
984	153158	2332
985	153275	2176
986	153435	2020
987	153554	1865
988	153682	1709
989	153799	1553
990	153914	1397
991	154090	1242
992	154257	1087
993	154396	931
994	154563	776
995	154715	621
996	154863	465
997	154989	310
998	155116	155
999	155235	0
